Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
Stability Ball Dead Bug,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Stability Ball,Supine,Single Arm,Alternating,Neutral
Bodyweight Glute Bridge,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Bodyweight,Bridge,No Arms,Continuous,No Grip
Bodyweight Bird Dog,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,Quadruped,Single Arm,Alternating,Flat Palm
Stability Ball Russian Twist ,Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,Seated Floor,Double Arm,Continuous,Neutral
Stability Ball Feet Elevated Crunch ,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,Supine,No Arms,Continuous,Head Supported
Ring Hanging Knee Raise ,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Parallette Mountain Climber,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Parallette Push Up,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm
Stability Ball V Up Pass,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,Supine,Double Arm,Continuous,Neutral
Bodyweight Dead Bug,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Bodyweight,Supine,Single Arm,Alternating,No Grip
Bodyweight Alternating Heel Taps,Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,Supine,Double Arm,Alternating,No Grip
